"lon","lat","n","slope","fossil_frac"
-104.97,39.51,29,0.034,0.31
-104.97,39.53,33,0.039,0.35
-104.99,39.71,35,0.049,0.45
-104.97,39.71,32,0.025,0.22
-104.95,39.71,32,0.042,0.38
-105.15,39.71,32,0.032,0.29
-105.11,39.71,24,0.053,0.48
-104.99,39.73,46,0.053,0.48
-104.97,39.73,16,0.038,0.34
-104.95,39.73,31,0.046,0.41
-104.83,39.73,13,0.025,0.23
-105.15,39.73,34,0.03,0.27
-105.17,39.75,31,0.028,0.26
-104.99,39.75,38,0.049,0.44
-104.95,39.75,32,0.05,0.45
-104.85,39.75,24,0.022,0.2
-105.13,39.75,30,0.041,0.37
-105.17,39.77,35,0.029,0.26
-104.99,39.77,94,0.05,0.46
-104.95,39.77,19,0.04,0.37
-105.13,39.77,16,0.04,0.36
-105.11,39.77,60,0.043,0.39
-105.19,39.79,34,0.028,0.25
-104.99,39.79,184,0.049,0.44
-104.95,39.79,30,0.042,0.38
-105.11,39.79,16,0.049,0.44
-105.09,39.79,30,0.024,0.22
-105.07,39.79,25,0.013,0.12
-105.19,39.81,22,0.026,0.23
-104.99,39.81,131,0.04,0.36
-104.95,39.81,15,0.045,0.41
-105.05,39.81,34,0.019,0.18
-105.03,39.81,13,0.044,0.4
-105.01,39.81,13,0.055,0.5
-105.19,39.83,39,0.024,0.22
-104.99,39.83,96,0.041,0.37
-105.09,39.83,37,0.061,0.55
-105.03,39.83,50,0.046,0.41
-105.01,39.83,44,0.054,0.49
-105.17,39.85,39,0.026,0.23
-104.99,39.85,110,0.034,0.31
-104.95,39.85,19,0.051,0.47
-105.09,39.85,36,0.058,0.53
-105.07,39.85,15,0.046,0.42
-105.05,39.85,27,0.032,0.29
-105.01,39.85,18,0.042,0.38
-104.99,39.87,95,0.024,0.22
-105.15,39.87,18,0.031,0.29
-105.07,39.87,27,0.064,0.59
-105.03,39.87,22,0.059,0.54
-105.01,39.87,24,0.05,0.46
-104.99,39.89,130,0.024,0.22
-105.09,39.89,44,0.056,0.51
-105.07,39.89,37,0.046,0.42
-105.05,39.89,16,0.04,0.36
-105.03,39.89,33,0.04,0.36
-104.99,39.55,40,0.044,0.4
-104.97,39.55,32,0.047,0.43
-105.03,39.55,24,0.051,0.46
-104.99,39.91,137,0.025,0.23
-105.13,39.91,102,0.037,0.34
-105.11,39.91,189,0.042,0.38
-105.09,39.91,42,0.051,0.46
-105.07,39.91,31,0.013,0.12
-105.05,39.91,14,0.024,0.22
-105.03,39.91,28,0.034,0.3
-105.17,39.93,39,0.04,0.37
-104.99,39.93,158,0.03,0.27
-104.81,39.93,15,0.069,0.62
-105.15,39.93,106,0.036,0.33
-105.13,39.93,24,0.032,0.3
-105.11,39.93,14,0.041,0.37
-105.09,39.93,46,0.053,0.48
-105.05,39.93,26,0.034,0.31
-105.19,39.95,27,0.033,0.3
-105.17,39.95,43,0.024,0.22
-104.99,39.95,52,0.032,0.29
-105.13,39.95,29,0.032,0.29
-105.11,39.95,17,0.052,0.47
-104.99,39.57,21,0.04,0.36
-104.97,39.57,45,0.047,0.43
-105.03,39.57,31,0.039,0.36
-104.97,39.59,28,0.046,0.42
-104.59,39.59,16,0.008,0.07
-105.05,39.59,33,0.041,0.37
-104.99,39.61,22,0.036,0.33
-104.97,39.61,30,0.04,0.36
-104.63,39.61,27,0.01,0.09
-104.61,39.61,20,0.011,0.1
-105.07,39.61,18,0.033,0.3
-105.05,39.61,20,0.036,0.33
-104.99,39.63,16,0.023,0.21
-104.67,39.63,28,0.006,0.05
-104.65,39.63,17,0.006,0.05
-105.07,39.63,46,0.028,0.26
-104.99,39.65,42,0.042,0.38
-104.97,39.65,25,0.044,0.4
-104.69,39.65,12,0.013,0.12
-105.09,39.65,26,0.027,0.25
-104.99,39.67,74,0.042,0.38
-105.13,39.67,20,0.032,0.29
-105.09,39.67,32,0.041,0.38
-104.99,39.69,50,0.045,0.41
-104.97,39.69,41,0.033,0.3
-105.13,39.69,25,0.035,0.32
-105.11,39.69,27,0.05,0.46
